ERROR 2013-04-16 14:55:33,215 views 8907 140676784609024 test
ERROR 2013-04-16 15:00:47,979 views 9078 140670550853376 test
ERROR 2013-04-16 15:00:59,910 views 9120 140376911333120 test
ERROR 2013-04-16 15:01:29,952 views 9143 140507087853312 test
INFO 2013-04-19 01:55:45,671 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results1.htm
INFO 2013-04-19 01:55:46,540 models 3532 140304818218752 Success for hour 1
INFO 2013-04-19 01:55:46,544 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results2.htm
INFO 2013-04-19 01:55:47,317 models 3532 140304818218752 Success for hour 2
INFO 2013-04-19 01:55:47,321 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results3.htm
INFO 2013-04-19 01:55:48,091 models 3532 140304818218752 Success for hour 3
INFO 2013-04-19 01:55:48,094 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results4.htm
INFO 2013-04-19 01:55:48,874 models 3532 140304818218752 Success for hour 4
INFO 2013-04-19 01:55:48,878 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results5.htm
INFO 2013-04-19 01:55:49,673 models 3532 140304818218752 Success for hour 5
INFO 2013-04-19 01:55:49,675 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results6.htm
INFO 2013-04-19 01:55:50,476 models 3532 140304818218752 Success for hour 6
INFO 2013-04-19 01:55:50,479 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results7.htm
INFO 2013-04-19 01:55:51,295 models 3532 140304818218752 Success for hour 7
INFO 2013-04-19 01:55:51,299 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results8.htm
INFO 2013-04-19 01:55:52,105 models 3532 140304818218752 Success for hour 8
INFO 2013-04-19 01:55:52,108 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results9.htm
INFO 2013-04-19 01:55:52,890 models 3532 140304818218752 Success for hour 9
INFO 2013-04-19 01:55:52,892 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results10.htm
INFO 2013-04-19 01:55:53,697 models 3532 140304818218752 Success for hour 10
INFO 2013-04-19 01:55:53,700 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results11.htm
INFO 2013-04-19 01:55:54,471 models 3532 140304818218752 Success for hour 11
INFO 2013-04-19 01:55:54,476 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results12.htm
INFO 2013-04-19 01:55:55,259 models 3532 140304818218752 Success for hour 12
